               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.054761,            0.018214,             0.10156,             0.80914,            0.036998,            0.072316,            0.040561,             0.02343,           0.0056462,            0.064239,            0.070013,           0.0033318,           0.0033318
                   1,            0.041025,            0.012705,            0.085144,             0.59976,             0.20837,             0.24376,             0.13154,            0.023774,           0.0052543,            0.048971,            0.039881,           0.0065332,           0.0065332
                   2,            0.042685,            0.012268,            0.066406,             0.53952,             0.40715,             0.43445,             0.23203,            0.025441,           0.0057191,            0.033731,           0.0096174,           0.0096026,           0.0096026
                   3,            0.044336,             0.01251,            0.052012,              0.6724,             0.56313,             0.67284,             0.35498,             0.02488,           0.0055919,            0.020493,            0.009406,            0.009406,            0.009406
                   4,            0.043584,            0.012005,            0.039902,             0.60991,             0.74134,             0.77512,             0.43772,            0.023524,            0.005292,            0.012911,            0.009406,            0.009406,            0.009406
                   5,            0.042051,            0.011595,            0.032763,             0.79825,             0.68324,              0.8129,             0.47428,            0.023043,           0.0051249,            0.010121,            0.009208,            0.009208,            0.009208
                   6,            0.040879,            0.011365,            0.028442,             0.80068,             0.80261,             0.87096,              0.5164,            0.021631,           0.0048509,           0.0073759,             0.00901,             0.00901,             0.00901
                   7,            0.039571,            0.011207,            0.024711,             0.75801,             0.85353,             0.88728,             0.53244,            0.020711,           0.0047691,           0.0057863,            0.008812,            0.008812,            0.008812
                   8,            0.038719,            0.010859,            0.022198,             0.81078,             0.85238,             0.90104,              0.5535,            0.020427,           0.0047986,           0.0049874,            0.008614,            0.008614,            0.008614
                   9,             0.03786,            0.010629,            0.020074,             0.81887,             0.89979,             0.91761,             0.57881,            0.019233,           0.0046516,           0.0042985,            0.008416,            0.008416,            0.008416
                  10,            0.036782,            0.010637,            0.018977,             0.82541,             0.89196,             0.93163,             0.59881,            0.018995,           0.0045673,           0.0034876,            0.008218,            0.008218,            0.008218
                  11,            0.036037,            0.010438,            0.017678,             0.86087,               0.907,             0.93806,             0.60563,            0.018411,           0.0044983,           0.0033007,             0.00802,             0.00802,             0.00802
                  12,            0.035461,            0.010185,            0.016129,             0.88938,             0.91287,             0.94003,             0.62034,            0.018041,           0.0043978,           0.0037612,            0.007822,            0.007822,            0.007822
                  13,            0.034838,            0.010021,            0.015691,             0.92307,             0.91554,              0.9504,             0.64096,            0.017386,           0.0043588,           0.0028367,            0.007624,            0.007624,            0.007624
                  14,            0.034282,           0.0099528,            0.014479,             0.92566,             0.90275,             0.94917,             0.64727,            0.017239,            0.004298,           0.0028261,            0.007426,            0.007426,            0.007426
                  15,            0.033633,           0.0099328,            0.013723,             0.91771,             0.91855,             0.94951,             0.64286,            0.016989,             0.00432,           0.0027885,            0.007228,            0.007228,            0.007228
                  16,            0.033233,           0.0098533,            0.013309,             0.91059,             0.93322,             0.95411,             0.66632,             0.01634,           0.0042145,           0.0025716,             0.00703,             0.00703,             0.00703
                  17,            0.032866,           0.0095773,            0.012193,             0.93513,             0.93679,             0.95778,              0.6576,            0.016317,           0.0041447,           0.0022178,            0.006832,            0.006832,            0.006832
                  18,            0.032392,           0.0096591,            0.011766,             0.93126,             0.92515,             0.95916,             0.67875,            0.015917,           0.0041179,           0.0021786,            0.006634,            0.006634,            0.006634
                  19,            0.031976,           0.0095189,            0.011322,             0.94069,              0.9461,             0.96467,             0.67526,             0.01563,           0.0040835,           0.0019241,            0.006436,            0.006436,            0.006436
                  20,            0.031278,           0.0094642,            0.010592,             0.92877,             0.93285,             0.96221,             0.68257,            0.015628,           0.0041065,           0.0020928,            0.006238,            0.006238,            0.006238
